iter	Passed	Remaining
0	40	4005
1	76	3758
2	119	3860
3	149	3581
4	201	3825
5	229	3598
6	271	3610
7	296	3415
8	329	3329
9	392	3536
10	451	3653
11	504	3703
12	552	3697
13	613	3770
14	669	3793
15	731	3838
16	800	3908
17	857	3907
18	914	3897
19	971	3887
20	1032	3883
21	1094	3880
22	1156	3872
23	1220	3863
24	1284	3853
25	1342	3820
26	1407	3806
27	1467	3773
28	1531	3748
29	1593	3718
30	1651	3676
31	1717	3650
32	1780	3615
33	1847	3585
34	1912	3551
35	1973	3508
36	2039	3471
37	2102	3430
38	2161	3380
39	2225	3338
40	2292	3299
41	2357	3255
42	2419	3207
43	2481	3158
44	2545	3111
45	2605	3058
46	2666	3006
47	2727	2954
48	2786	2900
49	2852	2852
50	2910	2796
51	2974	2745
52	3035	2692
53	3143	2677
54	3214	2629
55	3282	2579
56	3345	2523
57	3407	2467
58	3469	2410
59	3535	2357
60	3595	2298
61	3659	2243
62	3726	2188
63	3790	2132
64	3859	2078
65	3923	2021
66	3992	1966
67	4060	1910
68	4126	1853
69	4186	1794
70	4252	1736
71	4311	1676
72	4376	1618
73	4437	1559
74	4500	1500
75	4567	1442
76	4627	1382
77	4690	1322
78	4754	1263
79	4812	1203
80	4876	1143
81	4936	1083
82	4999	1024
83	5062	964
84	5122	903
85	5186	844
86	5248	784
87	5309	724
88	5370	663
89	5428	603
90	5492	543
91	5549	482
92	5612	422
93	5672	362
94	5731	301
95	5795	241
96	5851	180
97	5916	120
98	5976	60
99	6037	0
